timestamp,event,trade_time,direction,confidence,atr_norm,sl,tp,volume
2026-02-02 03:15:04,OPEN_TRADE,2026-02-02 07:15:00+02:00,LONG,0.89313483,0.001034461204494429,10.669541481582012,15.648660839653619,1.0
2026-02-02 03:20:05,OPEN_TRADE,2026-02-02 07:20:00+02:00,LONG,0.88823426,0.0010072638449725494,10.390339539068286,15.239164657300153,1.0
2026-02-02 03:25:00,OPEN_TRADE,2026-02-02 07:25:00+02:00,LONG,0.8488651,0.0009715984473707666,10.022713245550381,14.699979426807225,1.0
2026-02-02 03:30:01,OPEN_TRADE,2026-02-02 07:30:00+02:00,LONG,0.86332464,0.0009895323134531077,10.202978626106782,14.964368651623282,1.0
2026-02-02 03:35:01,OPEN_TRADE,2026-02-02 07:35:00+02:00,LONG,0.82803917,0.0009835213479069235,10.13473015275407,14.86427089070597,1.0
2026-02-02 03:40:02,OPEN_TRADE,2026-02-02 07:40:00+02:00,LONG,0.8309843,0.0009623181782291611,9.910106570312417,14.534822969791547,1.0
2026-02-02 03:45:02,OPEN_TRADE,2026-02-02 07:45:00+02:00,LONG,0.87158835,0.00094602223995507,9.741323447930949,14.287274390298727,1.0
2026-02-02 03:50:03,OPEN_TRADE,2026-02-02 07:50:00+02:00,LONG,0.86879075,0.0009742530837004053,10.036126875042589,14.719652750062464,1.0
2026-02-02 03:55:03,OPEN_TRADE,2026-02-02 07:55:00+02:00,LONG,0.8333491,0.0009547179376441968,9.831480057503345,14.41950408433824,1.0
2026-02-02 04:00:04,OPEN_TRADE,2026-02-02 08:00:00+02:00,LONG,0.84397817,0.000986076946256586,10.14923148203903,14.885539506990577,1.0
2026-02-02 04:05:04,OPEN_TRADE,2026-02-02 08:05:00+02:00,LONG,0.7819424,0.0010235183517132835,10.5175261720447,15.42570505233223,1.0
2026-02-02 04:10:04,OPEN_TRADE,2026-02-02 08:10:00+02:00,LONG,0.86163795,0.0010153046927170754,10.4407385883756,15.313083262950883,1.0
2026-02-02 04:15:05,OPEN_TRADE,2026-02-02 08:15:00+02:00,LONG,0.7570646,0.0010219251604360203,10.504895015579477,15.407179356183235,1.0
2026-02-02 04:20:05,OPEN_TRADE,2026-02-02 08:20:00+02:00,LONG,0.6249659,0.0010615703211373255,10.932428024536181,16.034227769319735,1.0
2026-02-02 04:25:01,OPEN_TRADE,2026-02-02 08:25:00+02:00,LONG,0.5921635,0.0010150597402379556,10.451922961567893,15.329487010299578,1.0
2026-02-02 04:30:01,OPEN_TRADE,2026-02-02 08:30:00+02:00,LONG,0.6221504,0.000995001476545658,10.243520301008019,15.023829774811762,1.0
2026-02-02 04:35:02,OPEN_TRADE,2026-02-02 08:35:00+02:00,LONG,0.56349516,0.0009687782899946001,9.979365789668575,14.636403158180578,1.0
2026-02-02 04:40:03,OPEN_TRADE,2026-02-02 08:40:00+02:00,LONG,0.5888383,0.0009280993721847184,9.562421294474756,14.024884565229643,1.0
2026-02-02 04:50:03,OPEN_TRADE,2026-02-02 08:50:00+02:00,LONG,0.691896,0.0009190412702055253,9.473656626326246,13.894696385278493,1.0
2026-02-02 04:55:04,OPEN_TRADE,2026-02-02 08:55:00+02:00,LONG,0.6994464,0.0008887369058377174,9.16285972444875,13.4388609291915,1.0
2026-02-02 05:00:04,OPEN_TRADE,2026-02-02 09:00:00+02:00,LONG,0.5765091,0.0008601770634914621,8.86615035626404,13.003687189187259,1.0
2026-02-02 05:05:05,OPEN_TRADE,2026-02-02 09:05:00+02:00,LONG,0.8316585,0.0008402726397020845,8.657522269557706,12.697699328684639,1.0
2026-02-02 05:10:05,OPEN_TRADE,2026-02-02 09:10:00+02:00,LONG,0.73849845,0.0008212112469689343,8.460352311479348,12.408516723503043,1.0
2026-02-02 05:15:00,OPEN_TRADE,2026-02-02 09:15:00+02:00,LONG,0.8269002,0.000813392727015214,8.377827146311287,12.287479814589886,1.0
2026-02-02 05:20:01,OPEN_TRADE,2026-02-02 09:20:00+02:00,LONG,0.6733558,0.0008150251643082996,8.39112010501685,12.306976154024714,1.0
2026-02-02 05:30:02,OPEN_TRADE,2026-02-02 09:30:00+02:00,LONG,0.7459334,0.0007814855755543985,8.04127557134936,11.793870837979062,1.0
2026-02-02 05:35:03,OPEN_TRADE,2026-02-02 09:35:00+02:00,LONG,0.7505965,0.0007941118397046699,8.165240581566547,11.975686186297603,1.0
2026-02-02 05:40:03,OPEN_TRADE,2026-02-02 09:40:00+02:00,LONG,0.66098255,0.0007934329033374947,8.160044825716398,11.968065744384049,1.0
2026-02-02 05:45:04,OPEN_TRADE,2026-02-02 09:45:00+02:00,LONG,0.73173714,0.0007764797001532388,7.9853987667444235,11.711918191225156,1.0
2026-02-02 05:50:04,OPEN_TRADE,2026-02-02 09:50:00+02:00,LONG,0.6466544,0.0007737905038186369,7.960064160785218,11.674760769151654,1.0
2026-02-02 05:55:04,OPEN_TRADE,2026-02-02 09:55:00+02:00,LONG,0.7537533,0.0008003675189882924,8.228962639127747,12.069145204054031,1.0
2026-02-02 06:00:05,OPEN_TRADE,2026-02-02 10:00:00+02:00,LONG,0.75759584,0.000790834274753374,8.132429593456482,11.927563403736174,1.0
2026-02-02 06:05:01,OPEN_TRADE,2026-02-02 10:05:00+02:00,LONG,0.7296759,0.0007870846626455512,8.094602989775703,11.872084385004365,1.0
2026-02-02 06:15:01,OPEN_TRADE,2026-02-02 10:15:00+02:00,LONG,0.7901034,0.0007623429249379943,7.832010085357603,11.486948125191152,1.0
2026-02-02 06:20:02,OPEN_TRADE,2026-02-02 10:20:00+02:00,LONG,0.7905987,0.0007958699357812506,8.178244058947442,11.994757953122916,1.0
2026-02-02 06:25:02,OPEN_TRADE,2026-02-02 10:25:00+02:00,LONG,0.7679007,0.000807060870990459,8.290359279162226,12.159193609437931,1.0
