timestamp,event,direction,required_margin,long_used,short_used,avail_long,avail_short,equity,free_margin,margin_level
2026-02-01 23:50:35,MARGIN_CHECK,LONG,194.8,0.0,0.0,1651.6499999999999,1651.6499999999999,2359.5,2359.5,0.0
2026-02-01 23:55:59,MARGIN_CHECK,LONG,194.76,194.79,0.0,1455.8029999999999,1650.5929999999998,2357.99,2065.79,806.9780971937029
2026-02-02 00:00:00,MARGIN_CHECK,LONG,194.78,389.62,0.0,1259.8809999999999,1649.5009999999997,2356.43,1772.08,403.2566099084453
2026-02-02 00:05:00,MARGIN_CHECK,LONG,194.41,583.65,0.0,1057.7309999999998,1641.3809999999999,2344.83,1468.32,267.51891022350003
2026-02-02 00:10:01,MARGIN_CHECK,LONG,194.46,777.6099999999999,0.0,877.0989999999999,1654.7089999999998,2363.87,1195.76,202.36707159428477
2026-02-02 00:20:02,MARGIN_CHECK,LONG,194.6,971.6700000000001,0.0,705.4809999999998,1677.1509999999998,2395.93,936.14,164.12840203042902
2026-02-02 00:25:02,MARGIN_CHECK,LONG,194.71,1166.5800000000002,0.0,518.5789999999997,1685.1589999999999,2407.37,655.69,137.43206521739128
2026-02-02 00:30:03,MARGIN_CHECK,LONG,194.61,1166.87,0.0,509.3430000000001,1676.213,2394.59,642.42,136.66425061495175
2026-02-02 00:35:03,MARGIN_CHECK,LONG,194.7,1361.82,0.0,320.6790000000001,1682.499,2403.57,359.48,117.5863098004491
2026-02-02 00:45:04,MARGIN_CHECK,SHORT,194.88,0.0,0.0,1712.1299999999999,1712.1299999999999,2445.9,2445.9,0.0
2026-02-02 00:55:05,MARGIN_CHECK,SHORT,194.85,0.0,194.92,1713.3619999999999,1518.4419999999998,2447.66,2155.35,837.3507577571755
2026-02-02 01:00:00,MARGIN_CHECK,SHORT,194.77,0.0,389.7,1714.6009999999999,1324.9009999999998,2449.43,1864.85,419.0068083068185
2026-02-02 01:05:01,MARGIN_CHECK,SHORT,194.9,0.0,584.5799999999999,1708.1609999999998,1123.581,2440.23,1563.5,278.3331242229649
2026-02-02 01:15:02,MARGIN_CHECK,LONG,194.35,0.0,0.0,1746.332,1746.332,2494.76,2494.76,0.0
2026-02-02 01:20:03,MARGIN_CHECK,LONG,194.29,194.23,0.0,1553.075,1747.305,2496.15,2204.62,856.2240592734883
2026-02-02 01:25:03,MARGIN_CHECK,LONG,194.38,388.56,0.0,1361.237,1749.797,2499.71,1916.74,428.7887884453745
2026-02-02 01:30:04,MARGIN_CHECK,LONG,194.32,582.9,0.0,1163.411,1746.311,2494.73,1620.19,285.26196629085007
2026-02-02 01:35:04,MARGIN_CHECK,LONG,194.04,582.7,0.0,1143.8919999999998,1726.5919999999999,2466.56,1592.12,282.0730982114267
2026-02-02 01:40:04,MARGIN_CHECK,LONG,194.19,776.6,0.0,965.0139999999998,1741.6139999999998,2488.02,1322.51,213.47049789362597
2026-02-02 01:45:00,MARGIN_CHECK,LONG,193.93,582.3399999999999,0.0,1131.6029999999998,1713.9429999999998,2448.49,1574.61,280.1860667368517
2026-02-02 01:50:00,MARGIN_CHECK,LONG,193.76,387.89,0.0,1316.9249999999997,1704.8149999999998,2435.45,1853.48,418.4837706410983
2026-02-02 01:55:01,MARGIN_CHECK,LONG,193.87,581.6899999999999,0.0,1128.3400000000001,1710.03,2442.9,1570.28,279.9500355252
2026-02-02 02:00:02,MARGIN_CHECK,LONG,193.56,193.74,0.0,1494.415,1688.155,2411.65,2120.99,829.715131080988
2026-02-02 02:05:02,MARGIN_CHECK,LONG,193.77,387.34000000000003,0.0,1308.6480000000001,1695.988,2422.84,1841.85,417.01922580423076
2026-02-02 02:10:03,MARGIN_CHECK,LONG,193.69,581.06,0.0,1110.112,1691.172,2415.96,1544.31,277.17088280846673
2026-02-02 02:15:03,MARGIN_CHECK,LONG,193.63,581.12,0.0,1098.2779999999998,1679.398,2399.14,1527.61,275.2791068580542
2026-02-02 02:20:04,MARGIN_CHECK,LONG,193.48,774.51,0.0,896.579,1671.089,2387.27,1225.29,205.44845866538148
2026-02-02 02:25:04,MARGIN_CHECK,LONG,193.64,968.1700000000001,0.0,715.8689999999999,1684.039,2405.77,953.58,165.66496119653763
2026-02-02 02:30:05,MARGIN_CHECK,LONG,193.63,1161.97,0.0,516.7979999999998,1678.7679999999998,2398.24,655.58,137.61950122226938
2026-02-02 02:35:05,MARGIN_CHECK,LONG,193.5,1355.5900000000001,0.0,304.59299999999985,1660.183,2371.69,338.58,116.65330454328591
2026-02-02 02:40:01,MARGIN_CHECK,LONG,193.65,1548.78,0.0,141.4119999999998,1690.1919999999998,2414.56,91.19,103.924902189492
2026-02-02 02:45:02,MARGIN_CHECK,LONG,193.55,1548.41,0.0,133.51499999999987,1681.925,2402.75,79.38,103.41658883432257
2026-02-02 02:50:02,MARGIN_CHECK,LONG,193.47,1548.86,0.0,109.75499999999988,1658.6149999999998,2369.45,46.08,101.98332594464074
2026-02-02 02:55:02,MARGIN_CHECK,LONG,193.39,386.95000000000005,0.0,1249.685,1636.635,2338.05,1757.58,402.78567367822626
2026-02-02 03:00:03,MARGIN_CHECK,LONG,193.38,580.69,0.0,1047.587,1628.277,2326.11,1455.56,267.20004594796393
2026-02-02 03:05:03,MARGIN_CHECK,LONG,193.35,773.8299999999999,0.0,856.4209999999998,1630.2509999999997,2328.93,1168.32,200.6643058391708
2026-02-02 03:10:04,MARGIN_CHECK,LONG,193.33,967.06,0.0,664.29,1631.35,2330.5,879.87,160.6543363917746
